path,category,size,lines,words,has_frontmatter,frontmatter_keys
.smart-env/multi/audits_ACT1-004-harald-arrives-audit_md.ajson,smart-env,12673,9,90,False,
.smart-env/multi/audits_DETAILED-FILE-BY-FILE-AUDIT_md.ajson,smart-env,50104,11,147,False,
.smart-env/multi/audits_MANUSCRIPT-DIAGNOSTIC-TEMPLATE_md.ajson,smart-env,401368,152,4876,False,
.smart-env/multi/audits_METADATA-SCAN-REPORT_md.ajson,smart-env,52882,18,342,False,
.smart-env/multi/audits_PRE-ACADEMY-TIMELINE-audit_md.ajson,smart-env,22822,15,30,False,
.smart-env/multi/audits_REPO-WIDE-CHARACTER-ARC-WORLDBUILDING-AUDIT_md.ajson,smart-env,19824,3,36,False,
.smart-env/multi/audits_SIDE-CHARACTER-MOMENTS-audit_md.ajson,smart-env,36592,16,32,False,
.smart-env/multi/BASTARD-MASTER-SANDERSON-INTEGRATION_md.ajson,smart-env,364220,101,3297,False,
.smart-env/multi/beginning-middle-end_ACT-I-OUTLINE_md.ajson,smart-env,189140,156,5334,False,
.smart-env/multi/beginning-middle-end_ACT-II-OUTLINE_md.ajson,smart-env,145461,106,3248,False,
.smart-env/multi/beginning-middle-end_ACT-III-OUTLINE_md.ajson,smart-env,250630,174,5865,False,
.smart-env/multi/bloodabilityguide_md.ajson,smart-env,192164,38,1150,False,
.smart-env/multi/chain-story_Bem-vindo_md.ajson,smart-env,9889,2,14,False,
.smart-env/multi/Chapters_01-Tavern-Opening_md.ajson,smart-env,25089,6,113,False,
.smart-env/multi/Chapters_02-Training-Years-Begin_md.ajson,smart-env,24966,6,87,False,
.smart-env/multi/Chapters_03-City-Beneath_md.ajson,smart-env,25135,6,115,False,
.smart-env/multi/Chapters_04-First-Magic-Lesson_md.ajson,smart-env,25284,6,127,False,
.smart-env/multi/Chapters_04-Frostfang-Incident-Expanded_md.ajson,smart-env,15617,5,76,False,
.smart-env/multi/Chapters_04-Frostfang-Incident_md.ajson,smart-env,10186,3,36,False,
.smart-env/multi/Chapters_05-Exam-Sabotage_md.ajson,smart-env,10148,3,36,False,
.smart-env/multi/Chapters_05-Observation-Game_md.ajson,smart-env,24930,6,75,False,
.smart-env/multi/Chapters_06-First-Contact_md.ajson,smart-env,25112,6,114,False,
.smart-env/multi/Chapters_07-Network-Test_md.ajson,smart-env,25158,6,127,False,
.smart-env/multi/Chapters_08-Covenant-Scholar_md.ajson,smart-env,25158,6,114,False,
.smart-env/multi/Chapters_09-Final-Warning_md.ajson,smart-env,24914,6,75,False,
.smart-env/multi/Chapters_10-Last-Ordinary-Day_md.ajson,smart-env,24968,6,88,False,
.smart-env/multi/Chapters_11-Academy-Initiation_md.ajson,smart-env,25002,6,65,False,
.smart-env/multi/Chapters_12-First-Operations_md.ajson,smart-env,15135,4,37,False,
.smart-env/multi/Chapters_13-The-Archive-Access_md.ajson,smart-env,15173,4,44,False,
.smart-env/multi/Chapters_14-The-Competitor-Networks_md.ajson,smart-env,15229,4,44,False,
.smart-env/multi/Chapters_15-The-Heresy-Archive_md.ajson,smart-env,15150,4,44,False,
.smart-env/multi/Chapters_16-The-Database-Infiltration_md.ajson,smart-env,15232,4,44,False,
.smart-env/multi/Chapters_17-Examination-Crisis_md.ajson,smart-env,15207,4,39,False,
.smart-env/multi/Chapters_18-The-Military-Assignment_md.ajson,smart-env,15247,4,44,False,
.smart-env/multi/Chapters_19-Military-Training-Initiate_md.ajson,smart-env,15276,4,44,False,
.smart-env/multi/Chapters_20-The-Threshold_md.ajson,smart-env,15076,4,36,False,
.smart-env/multi/Chapters_21-Academy-Arrival_md.ajson,smart-env,25157,6,115,False,
.smart-env/multi/Chapters_22-Covenant-Marking_md.ajson,smart-env,25245,6,128,False,
.smart-env/multi/Chapters_23-Heresy-and-Power_md.ajson,smart-env,25269,6,129,False,
.smart-env/multi/Chapters_24-Chain-Spear-Mastery_md.ajson,smart-env,25404,6,142,False,
.smart-env/multi/Chapters_25-Amara-Positioning_md.ajson,smart-env,24921,6,63,False,
.smart-env/multi/Chapters_26-Network-Expands_md.ajson,smart-env,24945,6,76,False,
.smart-env/multi/Chapters_27-Academy-Conflict_md.ajson,smart-env,25145,6,115,False,
.smart-env/multi/Chapters_28-Network-Consolidation_md.ajson,smart-env,15213,4,40,False,
.smart-env/multi/Chapters_29-The-Final-Planning_md.ajson,smart-env,19660,4,51,False,
.smart-env/multi/Chapters_30-Archive-Infiltration_md.ajson,smart-env,25316,6,115,False,
.smart-env/multi/Chapters_30-Final-Border-Stand-Expanded_md.ajson,smart-env,15567,5,70,False,
.smart-env/multi/Chapters_30-Final-Border-Stand_md.ajson,smart-env,10208,3,36,False,
.smart-env/multi/Chapters_31-Deployment-Begins_md.ajson,smart-env,15120,4,37,False,
.smart-env/multi/Chapters_32-Evidence-Distribution_md.ajson,smart-env,15212,4,41,False,
.smart-env/multi/Chapters_33-The-Investigation-Deepens_md.ajson,smart-env,15281,4,44,False,
.smart-env/multi/Chapters_34-The-Extraction_md.ajson,smart-env,15075,4,39,False,
.smart-env/multi/Chapters_35-Military-Campaign-Escalation_md.ajson,smart-env,15286,4,44,False,
.smart-env/multi/Chapters_36-Conscription_md.ajson,smart-env,25073,6,103,False,
.smart-env/multi/Chapters_37-Covenant-Confrontation_md.ajson,smart-env,25452,6,116,False,
.smart-env/multi/Chapters_38-Deliberation_md.ajson,smart-env,25161,6,129,False,
.smart-env/multi/Chapters_39-Regional-Conflict_md.ajson,smart-env,15171,4,45,False,
.smart-env/multi/Chapters_40-Contact-Point_md.ajson,smart-env,15068,4,45,False,
.smart-env/multi/Chapters_41-44-War-Operations-Strategic-Escalations_md.ajson,smart-env,45025,10,123,False,
.smart-env/multi/Chapters_41-Transition-Decision_md.ajson,smart-env,15206,4,45,False,
.smart-env/multi/Chapters_42-Institutional-Replacement_md.ajson,smart-env,15319,4,45,False,
.smart-env/multi/Chapters_43-Network-Reorganization_md.ajson,smart-env,15255,4,45,False,
.smart-env/multi/Chapters_44-Convergence_md.ajson,smart-env,15096,4,38,False,
.smart-env/multi/Chapters_45-HQ-Assault_md.ajson,smart-env,25138,6,132,False,
.smart-env/multi/Chapters_46-Aisen-Death_md.ajson,smart-env,25240,6,116,False,
.smart-env/multi/Chapters_47-Breaking-Point_md.ajson,smart-env,25153,6,118,False,
.smart-env/multi/Chapters_48-Immediate-Aftermath_md.ajson,smart-env,25375,6,129,False,
.smart-env/multi/Chapters_49-New-Governance_md.ajson,smart-env,25304,6,116,False,
.smart-env/multi/Chapters_50-Without-Center_md.ajson,smart-env,25200,6,129,False,
.smart-env/multi/Chapters_51-Reconstruction_md.ajson,smart-env,25156,6,103,False,
.smart-env/multi/Chapters_52-Final-Epilogue_md.ajson,smart-env,29689,6,134,False,
.smart-env/multi/Chapters_Chapter-01_md.ajson,smart-env,50222,12,270,False,
.smart-env/multi/Chapters_Childhood-01-Tavern-At-Night_md.ajson,smart-env,10288,3,42,False,
.smart-env/multi/Chapters_Childhood-02-Beast-Attack_md.ajson,smart-env,15487,5,76,False,
.smart-env/multi/Chapters_Childhood-03-Harald-Gift_md.ajson,smart-env,15316,5,34,False,
.smart-env/multi/Chapters_Childhood-04-Night-Before-Academy_md.ajson,smart-env,15656,5,70,False,
.smart-env/multi/Chapters_Meta-Copilot-Archive_md.ajson,smart-env,9656,2,4,False,
.smart-env/multi/Chapters_Training-Drills-Master-States_md.ajson,smart-env,48945,17,394,False,
.smart-env/multi/CHARACTER-APPEARANCE-INDEX_md.ajson,smart-env,259100,44,824,False,
.smart-env/multi/CHARACTER-BIBLE_md.ajson,smart-env,371023,76,2787,False,
.smart-env/multi/CHARACTER-VOICE-BANK_md.ajson,smart-env,292968,120,4614,False,
.smart-env/multi/characters_AISEN-EXPANDED_md.ajson,smart-env,216292,157,5159,False,
.smart-env/multi/characters_AISEN-RYO-CAMPFIRE-SCENE_md.ajson,smart-env,14698,3,36,False,
.smart-env/multi/characters_AISEN-TAVERN-LORE-EXPANSION_md.ajson,smart-env,302214,58,3271,False,
.smart-env/multi/characters_allies_amara-okafor_md.ajson,smart-env,213097,53,1503,False,
.smart-env/multi/characters_allies_elara-valorin_md.ajson,smart-env,170803,48,1712,False,
.smart-env/multi/characters_allies_kaelen-blackwood_md.ajson,smart-env,238894,57,1746,False,
.smart-env/multi/characters_allies_KAELEN-THORNWOOD_md.ajson,smart-env,17421,9,138,False,
.smart-env/multi/characters_allies_lysandra-windbreaker_md.ajson,smart-env,212000,57,1417,False,
.smart-env/multi/characters_allies_rin-celestara_md.ajson,smart-env,183524,48,1324,False,
.smart-env/multi/characters_allies_RIN-SHIRAKAWA_md.ajson,smart-env,12752,9,114,False,
.smart-env/multi/characters_allies_thalassa-mirrorrow_md.ajson,smart-env,190602,48,1515,False,
.smart-env/multi/characters_AMARA-PROFILE-EXPANDED_md.ajson,smart-env,170392,46,1451,False,
.smart-env/multi/characters_antagonists_CASPIAN-VANE_md.ajson,smart-env,243900,65,1790,False,
.smart-env/multi/characters_antagonists_CORVIN-ASHFORD_md.ajson,smart-env,221856,57,1570,False,
.smart-env/multi/characters_antagonists_lucius-varro_md.ajson,smart-env,241193,60,1884,False,
